GISID,mapId,mapcoords_,mapcoords1,Colony
4130,26127,166.50349,-77.66873525,Little Razorback
4134,26145,166.7352329,-77.66873525,Turks Head Tryggve
4137,26151,166.7545448,-77.66873525,Turks Head Tryggve
4140,26165,166.3876186,-77.65773224,Inaccessible Island
4156,26210,166.3683067,-77.65222711,Inaccessible Island
4168,26240,166.3876186,-77.68247544,Tent Island
4176,26257,166.4262424,-77.6604839,Little Razorback
4178,26262,166.4262424,-77.66873525,Little Razorback
4184,26282,166.4841781,-77.66323496,Little Razorback
4194,26314,166.3489948,-77.67423314,Tent Island
4199,26327,166.50349,-77.6714845,Little Razorback
4205,26340,166.7738567,-77.66873525,Turks Head Tryggve
4206,26341,166.50349,-77.68522167,Big Razorback
4213,26361,166.3876186,-77.69620055,Tent Island
4216,26371,166.3296829,-77.6714845,Tent Island
4217,26372,166.3489948,-77.6714845,Tent Island
4223,26392,166.3489948,-77.69345673,Tent Island
4226,26401,166.4841781,-77.67972861,Big Razorback
4229,26411,166.3683067,-77.65773224,Inaccessible Island
4248,26470,166.4841781,-77.67698118,Big Razorback
4250,26475,166.4841781,-77.68796729,Big Razorback
4266,26506,166.3876186,-77.67972861,Tent Island
4272,26517,166.3683067,-77.65497998,Inaccessible Island
4274,26523,166.4455543,-77.68247544,Big Razorback
4281,26544,166.3489948,-77.68247544,Tent Island
4282,26545,166.4648662,-77.66323496,Little Razorback
4293,26577,166.3296829,-77.67698118,Tent Island
4294,26578,166.4648662,-77.66598541,Little Razorback
4298,26586,166.4648662,-77.6714845,Little Razorback
4310,26609,166.6966091,-77.66323496,Turks Head Tryggve
4311,26610,166.50349,-77.68796729,Big Razorback
4312,26612,166.7545448,-77.65773224,Turks Head Tryggve
4314,26614,166.7352329,-77.6604839,Turks Head Tryggve
4318,26622,166.4455543,-77.66598541,Little Razorback
4324,26644,166.4841781,-77.69071231,Big Razorback
4334,26667,166.6966091,-77.65773224,Turks Head Tryggve
4335,26670,166.7545448,-77.66323496,Turks Head Tryggve
4336,26671,166.3683067,-77.66598541,Inaccessible Island
4341,26687,166.50349,-77.67972861,Big Razorback
4343,26691,166.5228019,-77.67972861,Big Razorback
4351,26709,166.5228019,-77.68522167,Big Razorback
4356,26731,166.3296829,-77.66598541,Inaccessible Island
4357,26738,166.4648662,-77.67972861,Big Razorback
4363,26755,166.4841781,-77.68522167,Big Razorback
4372,26779,166.3489948,-77.65497998,Inaccessible Island
4373,26787,166.3683067,-77.69071231,Tent Island
4379,26797,166.3296829,-77.68522167,Tent Island
4382,26806,166.4648662,-77.6604839,Little Razorback
4384,26812,166.3489948,-77.67698118,Tent Island
4391,26829,166.3296829,-77.65497998,Inaccessible Island
4392,26832,166.4648662,-77.67423314,Big Razorback
4394,26835,166.715921,-77.66323496,Turks Head Tryggve
4396,26843,166.6966091,-77.6604839,Turks Head Tryggve
4399,26857,166.3296829,-77.68247544,Tent Island
4404,26871,166.3489948,-77.68522167,Tent Island
4405,26872,166.4262424,-77.66323496,Little Razorback
4416,26900,166.4455543,-77.66873525,Little Razorback
4419,26905,166.50349,-77.68247544,Big Razorback
4420,26907,166.715921,-77.6604839,Turks Head Tryggve
4422,26909,166.5228019,-77.66598541,Little Razorback
4425,26926,166.4841781,-77.66873525,Little Razorback
4427,26936,166.3683067,-77.69345673,Tent Island
4432,26947,166.3683067,-77.67698118,Tent Island
4442,26967,166.4648662,-77.68247544,Big Razorback
4446,26983,166.3683067,-77.68247544,Tent Island
4463,27042,166.3876186,-77.6604839,Inaccessible Island
4465,27055,166.3876186,-77.68522167,Tent Island
4472,27081,166.5421138,-77.66873525,Little Razorback
4475,27089,166.4841781,-77.6604839,Little Razorback
4483,27104,166.310371,-77.6604839,Inaccessible Island
4489,27127,166.3489948,-77.65773224,Inaccessible Island
4492,27137,166.3683067,-77.68796729,Tent Island
4500,27158,166.3489948,-77.67972861,Tent Island
4505,27163,166.3876186,-77.69071231,Tent Island
4507,27170,166.4455543,-77.6604839,Little Razorback
4509,27182,166.7545448,-77.66598541,Turks Head Tryggve
4511,27185,166.3296829,-77.67972861,Tent Island
4512,27189,166.3683067,-77.66323496,Inaccessible Island
4513,27190,166.5228019,-77.68796729,Big Razorback
4519,27206,166.3683067,-77.6604839,Inaccessible Island
4536,27270,166.6772972,-77.65497998,Turks Head Tryggve
4542,27284,166.4841781,-77.68247544,Big Razorback
4543,27287,166.4841781,-77.6714845,Little Razorback
4545,27292,166.50349,-77.66598541,Little Razorback
4549,27299,166.50349,-77.67698118,Big Razorback
4550,27301,166.3489948,-77.66323496,Inaccessible Island
4565,27346,166.5228019,-77.67698118,Big Razorback
4566,27350,166.5421138,-77.68247544,Big Razorback
4568,27354,166.4262424,-77.66598541,Little Razorback
4577,27380,166.50349,-77.66323496,Little Razorback
4584,27395,166.715921,-77.65773224,Turks Head Tryggve
4585,27397,166.3876186,-77.68796729,Tent Island
4605,27456,166.7545448,-77.6604839,Turks Head Tryggve
4612,27485,166.3489948,-77.69071231,Tent Island
4621,27500,166.6966091,-77.65497998,Turks Head Tryggve
4622,27501,166.4455543,-77.67423314,Big Razorback
4625,27508,166.4648662,-77.67698118,Big Razorback
4650,27569,166.3876186,-77.69345673,Tent Island
4653,27582,166.3296829,-77.67423314,Tent Island
4661,27609,166.4648662,-77.66873525,Little Razorback
4669,27631,166.6772972,-77.65222711,Turks Head Tryggve
4675,27646,166.3296829,-77.6604839,Inaccessible Island
4682,27662,166.4648662,-77.68796729,Big Razorback
4683,27664,166.3489948,-77.66598541,Inaccessible Island
4689,27683,166.3876186,-77.65497998,Inaccessible Island
4691,27686,166.715921,-77.66598541,Turks Head Tryggve
4693,27688,166.5228019,-77.68247544,Big Razorback
4698,27698,166.7352329,-77.65773224,Turks Head Tryggve
4700,27707,166.3683067,-77.68522167,Tent Island
4716,27750,166.7738567,-77.66598541,Turks Head Tryggve
4722,27759,166.50349,-77.67423314,Big Razorback
4723,27761,166.4069305,-77.6604839,Inaccessible Island
4724,27762,166.7352329,-77.66598541,Turks Head Tryggve
4728,27768,166.4648662,-77.68522167,Big Razorback
4729,27770,166.5228019,-77.6714845,Little Razorback
4731,27774,166.5228019,-77.66873525,Little Razorback
4735,27787,166.3489948,-77.68796729,Tent Island
4737,27789,166.310371,-77.66323496,Inaccessible Island
4745,27809,166.4455543,-77.67698118,Big Razorback
4746,27811,166.3296829,-77.65773224,Inaccessible Island
4747,27812,166.5228019,-77.66323496,Little Razorback
4753,27822,166.3876186,-77.66323496,Inaccessible Island
4757,27830,166.4455543,-77.67972861,Big Razorback
4762,27846,166.3683067,-77.67423314,Tent Island
4764,27851,166.3683067,-77.69620055,Tent Island
4765,27852,166.3683067,-77.67972861,Tent Island
4767,27854,166.4455543,-77.66323496,Little Razorback
4769,27861,166.3296829,-77.66323496,Inaccessible Island
4772,27870,166.7352329,-77.66323496,Turks Head Tryggve
4776,27878,166.3489948,-77.6604839,Inaccessible Island
4783,27907,166.4841781,-77.66598541,Little Razorback
6031,55669,166.8349829,-77.72559652,Hutton Cliffs
6039,55764,166.8542948,-77.72285916,Hutton Cliffs
6064,56067,166.9315424,-77.70093861,South Base
6078,56226,166.7770472,-77.67073492,Turks Head Tryggve
6082,56326,166.8542948,-77.72012119,Hutton Cliffs
6099,56534,166.7770472,-77.66798551,Turks Head Tryggve
6121,56839,166.7577353,-77.65698184,Turks Head Tryggve
6131,56928,166.8542948,-77.72559652,Hutton Cliffs
6147,57154,166.9122305,-77.70093861,South Base
6198,58080,166.7384234,-77.65698184,Turks Head Tryggve
6214,58357,166.7770472,-77.6652355,Turks Head Tryggve
6222,58498,166.6804876,-77.65698184,Turks Head Tryggve
6268,59335,166.8349829,-77.73106944,Hutton Cliffs
6277,59488,166.8736067,-77.71738263,Hutton Cliffs
6282,59529,166.7384234,-77.66248489,Turks Head Tryggve
6290,59618,166.7191114,-77.65698184,Turks Head Tryggve
6309,59887,166.9122305,-77.70368078,South Base
6321,60016,166.6804876,-77.65147638,Turks Head Tryggve
6329,60227,166.6997995,-77.65422942,Turks Head Tryggve
6332,60309,166.815671,-77.66248489,Turks Head Tryggve
6339,60379,166.6997995,-77.65698184,Turks Head Tryggve
6361,60692,166.8349829,-77.66798551,Turks Head Tryggve
6379,61034,166.7384234,-77.66798551,Turks Head Tryggve
6408,61467,166.815671,-77.6652355,Turks Head Tryggve
6418,61635,166.7384234,-77.65973367,Turks Head Tryggve
6437,61872,166.7963591,-77.67073492,Turks Head Tryggve
6453,62143,166.8929186,-77.70368078,South Base
6454,62147,166.7191114,-77.65973367,Turks Head Tryggve
6519,62944,166.6997995,-77.65973367,Turks Head Tryggve
6540,63178,166.8929186,-77.70093861,South Base
6541,63185,166.7191114,-77.66248489,Turks Head Tryggve
6566,63691,166.7384234,-77.6652355,Turks Head Tryggve
6609,64349,166.7963591,-77.6652355,Turks Head Tryggve
6612,64391,166.7191114,-77.66798551,Turks Head Tryggve
6613,64408,166.815671,-77.66798551,Turks Head Tryggve
6615,64436,166.7577353,-77.73927432,Turtle Rock
6624,64512,166.7577353,-77.66798551,Turks Head Tryggve
6644,64852,166.7577353,-77.65973367,Turks Head Tryggve
6659,65039,166.8929186,-77.70916333,South Base
6666,65126,166.6804876,-77.65422942,Turks Head Tryggve
